Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
usda commodity pork sausage bulklinkspatties frz ckd,267.0,19.76,5.532,20.26,,,0.0,0.0,0.0,9,1.15,19.0,190.0,239.0,540.0,2.84,0.104,0.053,21.7,0.0,0.732,0.241,2.796,0.28,1.0,0.89,15.0,2950,7
game meat deer raw,120.0,22.96,0.95,2.42,,,0.0,0.0,0.0,5,3.4,23.0,202.0,318.0,51.0,2.09,0.253,0.0409999999999999,9.7,0.0,0.22,0.48,6.37,0.37,4.0,6.31,0.0,2652,7
conch baked or broiled,130.0,26.3,0.37,1.2,,,1.7,0.0,0.0,98,1.41,238.0,217.0,163.0,153.0,1.71,0.435,0.0,40.3,0.0,0.06,0.08,1.04,0.06,179.0,5.25,7.0,2788,7
"beef tenderloin steak ln  fat 18"" fat prime ckd brld",308.0,25.26,8.85,22.21,,,0.0,0.0,0.0,8,3.15,26.0,210.0,368.0,59.0,4.88,0.156,0.015,24.4,0.0,0.11,0.26,3.52,0.39,6.0,2.41,0.0,2771,7
"beef flank steak ln 0"" fat sel ckd brld",178.0,27.96,2.688,6.48,,,0.0,0.0,0.0,20,1.71,24.0,226.0,365.0,59.0,5.09,0.076,0.01,34.7,0.0,0.08,0.148,8.171,0.618,9.0,1.34,0.0,2663,7
pork frsh loin whl lnfat raw,198.0,19.74,4.36,12.58,,,0.0,0.0,0.0,18,0.79,21.0,197.0,356.0,50.0,1.74,0.0559999999999999,0.011,33.2,0.6,0.901,0.248,4.58,0.472,1.0,0.53,2.0,2832,7
calf  heart,109.701,18.84,1.489,3.75,,,0.0,0.0,0.0,6.48,4.66,18.21,185.0,224.0,58.0,1.63,0.28,0.04,11.86,0.0,0.26,0.29,5.3,0.41,9.41,0,0.0,2940,7
beans pinto immat seeds frz ckd bld drnd wsalt,162.0,9.31,0.0579999999999999,0.48,,,30.87,5.4,0.0,52,2.71,54.0,100.0,646.0,319.0,0.69,0.088,0.493,1.4,0.7,0.274,0.108,0.632,0.194,34.0,0,0.0,2626,7
rest latino arroz con abichuelas colorados (ricered bns),142.0,3.96,0.502,3.46,,,23.74,2.6,0.15,15,1.22,21.0,75.0,194.0,370.0,0.71,0.139,0.419,5.6,0.0,0.043,0.015,0.813,0.047,0.0,0,0.0,2677,7
ocean perch atlantic ckd dry heat,96.0,18.51,0.33,1.87,,,0.0,0.0,0.0,34,0.27,27.0,300.0,226.0,347.0,0.35,0.026,0.013,34.6,0.0,0.046,0.057,1.215,0.084,10.0,1.72,15.0,2874,7
"beef rib sml end (ribs 10-12) ln 18"" fat sel raw",134.0,22.53,1.553,4.2,,,0.0,0.0,0.0,22,1.59,23.0,209.0,353.0,55.0,3.96,0.076,0.011,30.4,0.0,0.076,0.121,6.544,0.635,13.0,0.95,0.0,2779,7
"beef rib sml end (ribs 10-12) ln 18"" fat sel ckd brld",188.0,30.87,2.369,6.22,,,0.0,0.0,0.0,22,1.91,27.0,253.0,409.0,66.0,5.69,0.085,0.011,38.8,0.0,0.088,0.164,9.02,0.682,10.0,1.47,0.0,2965,7
austin cheddar chs on wafer crackers sandwich-type,489.0,7.8,5.8,23.0,,,62.6,1.3,14.3,156,3.2,12.0,139.0,301.0,978.0,0.0,0.0,0.0,0.0,0.0,0.42,0.27,3.6,0.0,0.0,0,0.0,2659,7
goat  legs,159.891,22.07,3.665,7.94,,,0.0,0.0,0.0,5.76,1.77,21.71,187.0,339.0,42.77,3.52,0.08,0.01,17.76,0.0,0.07,0.15,5.15,0.31,2.25,0,0.0,2760,7
veal var meatsby-products pancreas ckd brsd,256.0,29.1,5.01,14.6,,,0.0,0.0,0.0,18,2.38,24.0,512.0,278.0,68.0,5.2,0.101,0.235,39.1,6.0,0.187,0.506,4.146,0.19,3.0,17.33,0.0,2624,7
salad drsng peppercorn drsng comm reg,564.0,1.2,10.527,61.4,,,3.5,0.0,2.45,22,0.35,2.0,26.0,176.0,1103.0,0.18,0.01,0.0,1.6,0.6,0.0,0.0,0.0,0.07,4.0,0.12,10.0,2813,7
restaurant latino pupusas con frijoles (pupusas bean),229.0,5.59,2.188,9.01,,,31.49,5.8,1.3,51,1.46,54.0,144.0,305.0,305.0,0.94,0.141,0.344,7.0,0.0,0.077,0.03,0.867,0.172,0.0,0,0.0,2655,7
popeyes fried chick mild wing meat only skn  brding removed,212.0,28.94,3.079,9.42,,,2.9,0.0,0.0,38,0.92,26.0,188.0,314.0,814.0,2.02,0.093,0.0409999999999999,42.7,0.0,0.098,0.297,8.127,0.3,0.0,0.75,10.0,2896,7
"beef rnd eye of rnd rst bnless ln  fat 0"" fat sel raw",120.0,23.28,1.229,3.0,,,0.0,0.0,0.0,13,1.37,11.0,221.0,309.0,50.0,3.36,0.035,0.002,22.1,0.0,0.063,0.184,6.548,0.634,4.0,2.06,5.0,2721,7
tuna fresh bluefin raw,144.0,23.33,1.257,4.9,,,0.0,0.0,0.0,8,1.02,50.0,254.0,252.0,39.0,0.6,0.086,0.015,36.5,0.0,0.241,0.251,8.654,0.455,2.0,9.43,655.0,2662,7
frankfurter meatless,233.0,19.61,1.653,13.73,,,7.7,3.9,0.0,33,1.41,18.0,344.0,98.0,471.0,1.2,0.706,0.0,7.4,0.0,0.441,0.833,3.137,0.078,78.0,2.35,0.0,2703,7
chicken broiler rotisserie bbq back meat only,212.0,21.85,3.613,13.87,,,0.31,0.0,0.31,33,0.82,18.0,212.0,263.0,563.0,1.74,0.067,0.0,41.1,0.0,0.069,0.181,5.175,0.121,7.0,0.61,15.0,2927,7
school lunch pizza chs topping thin crust whl grain frz ckd,247.0,12.72,4.0,7.91,,,31.31,4.0,7.12,218,2.53,51.0,316.0,348.0,421.0,1.97,0.098,0.314,22.7,0.0,0.284,0.347,2.996,0.163,19.0,1.49,66.0,2646,7
salmon coho farmed raw,160.0,21.27,1.816,7.67,,,0.0,0.0,0.0,12,0.34,31.0,292.0,450.0,47.0,0.43,0.048,0.012,12.6,1.1,0.09,0.11,6.813,0.66,13.0,2.67,56.0,2834,7
noodles egg unenr ckd wo added salt,138.0,4.54,0.419,2.07,,,25.16,1.2,0.4,12,0.6,21.0,76.0,38.0,5.0,0.65,0.098,0.315,23.9,0.0,0.03,0.02,0.4,0.046,7.0,0.09,6.0,2880,7
"beef comp of rtl cuts lnfat 18""fat choic raw",222.0,19.79,6.43,15.42,,,0.0,0.0,0.0,17,1.73,19.0,171.0,276.0,50.0,3.97,0.071,0.025,22.8,0.0,0.075,0.169,5.572,0.523,8.0,1.61,2.0,2793,7
"fast fd pizza chain 14"" pizza chs topping thin crust",302.0,12.85,6.224,13.95,,,31.2,2.5,3.61,288,1.71,24.0,295.0,199.0,742.0,1.59,0.1,0.305,20.0,3.0,0.205,0.16,2.595,0.065,40.0,0.57,72.0,2942,7
"beef top sirloin steak ln  fat 18"" fat choic raw",214.0,19.92,5.763,14.28,,,0.0,0.0,0.0,25,1.46,20.0,181.0,309.0,51.0,3.57,0.066,0.013,21.8,0.0,0.053,0.084,6.425,0.536,11.0,1.11,0.0,2723,7
flan caramel custard dry mix,348.0,0.0,0.0,0.0,,,91.6,0.0,0.0,24,0.08,0.0,1.0,153.0,432.0,0.04,0.015,0.0069999999999999,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2658,7
"beef loin top sirlon ptit rst bls ln 0"" fat al grds ckd rstd",170.0,29.12,1.742,5.92,,,0.0,0.0,0.0,5,2.75,27.0,243.0,377.0,57.0,7.07,0.101,0.0,34.8,0.0,0.068,0.194,5.882,0.584,7.0,3.78,2.0,2797,7
"lamb aus frsh rack rst frenched bone-in ln 18"" fat ckd rstd",244.0,28.01,6.802,14.64,,,0.0,0.0,0.0,6,2.63,22.0,174.0,237.0,67.0,2.98,0.114,0.003,16.5,0.0,0.115,0.42,6.63,0.556,0.0,1.5,4.0,2852,7
cheese cottage crmd wfruit,97.0,10.69,2.311,3.85,,,4.61,0.2,2.38,53,0.16,7.0,113.0,90.0,344.0,0.33,0.04,0.003,7.7,1.4,0.033,0.142,0.15,0.068,11.0,0.53,38.0,2690,7
garlic bread frz,350.0,8.36,5.281,16.61,,,41.72,2.5,3.69,27,3.05,23.0,87.0,103.0,544.0,0.87,0.108,0.441,16.6,0.2,0.462,0.184,4.142,0.083,136.0,0.08,13.0,2872,7
"beef plate steak bnls outside skrt ln  fat 0"" fat choic raw",238.0,17.69,7.426,18.44,,,0.35,0.0,0.0,6,3.35,19.0,140.0,240.0,65.0,4.51,0.171,0.171,22.6,0.0,0.103,0.562,4.043,0.374,3.0,5.48,4.0,2762,7
soup pea split w ham cnd cond,141.0,7.68,1.31,3.28,,,20.81,1.7,0.0,16,1.7,36.0,159.0,297.0,630.0,0.99,0.275,0.5,7.4,1.1,0.11,0.0559999999999999,1.098,0.05,2.0,0.2,17.0,2755,7
veal loin lnfat ckd rstd,217.0,24.8,5.26,12.32,,,0.0,0.0,0.0,19,0.87,25.0,212.0,325.0,93.0,3.03,0.11,0.0289999999999999,11.0,0.0,0.05,0.28,8.86,0.34,15.0,1.24,0.0,2877,7
chicken broilers or fryers wing meat only ckd rstd,203.0,30.46,2.26,8.13,,,0.0,0.0,0.0,16,1.16,21.0,166.0,210.0,92.0,2.14,0.054,0.016,24.7,0.0,0.047,0.129,7.312,0.59,4.0,0.34,18.0,2906,7
potatoes au gratin home-prepared from recipe using butter,132.0,5.06,4.733,7.59,,,11.27,1.8,0.0,119,0.64,20.0,113.0,396.0,433.0,0.69,0.16,0.161,2.7,9.9,0.064,0.116,0.993,0.174,8.0,0,64.0,2890,7
"beef rib eye steak bnles lip-on ln 18"" fat choic ckd grild",217.0,27.3,4.645,11.97,,,0.0,0.0,0.0,8,2.65,25.0,174.0,282.0,60.0,6.97,0.087,0.087,33.0,0.0,0.08,0.335,5.545,0.514,7.0,2.37,1.0,2660,7
chicken patty frz unckd,292.0,14.33,4.013,20.04,,,13.61,1.2,0.0,20,0.93,25.0,196.0,248.0,518.0,0.94,0.207,0.254,21.4,0.0,0.073,0.054,6.63,0.155,5.0,0.23,11.0,2712,7
