Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,id,cluster
syrups corn lt,283.0,0.0,0.0,0.2,76.79,0.0,76.77,13.0,0.0,1,0.0,1.0,62.0,0.44,0.0,0.0,0.7,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6236,6
archway home style cookies frosty lemon,430.0,4.41,5.83,17.11,64.78,0.7,33.35,41.0,1.62,0,0.0,92.0,449.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,1.95,0.0,59.0,0.0,0.0,0,0.0,892,6
candies twizzlers strawberry twists candy,348.0,2.56,0.0,2.32,79.16,0.0,39.64,0.0,0.51,0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6266,6
candies mars snackfood us milky way midnight bar,443.0,3.2,11.474,17.5,71.22,2.9,57.81,53.0,1.2,58,75.0,196.0,168.0,0.89,0.344,0.393,2.5,0.2,0.037,0.063,0.218,0.02,7.0,0.04,42.0,0.39,0.0,7047,6
kellogg's eggo biscuit scramblers bacon egg  chs,258.0,8.8,4.1,7.9,,,38.3,2.1,4.7,124,2.7,14.0,215.0,225.0,610.0,0.5,0.0,0.0,0.0,0.0,0.3,0.26,2.4,0.02,0.0,0.1,0.0,2699,6
inf formula  mead johnson next step prosobee pdr not recon,480.0,15.6,8.905,21.0,57.1,0.0,56.0,920.0,9.5,52,620.0,570.0,171.0,5.7,0.36,0.24,13.3,57.0,0.38,0.43,4.7,0.28,0.0,1.42,430.0,4.28,7.1,665,6
syrup nestle choc,269.0,0.0,0.0,0.0,67.21,0.0,60.0,0.0,0.0,40,58.0,122.0,150.0,0.55,0.308,0.308,1.5,0.0,0.006,0.031,0.173,0.009,3.0,0.0,0.0,0.01,0.0,3807,6
candies mars snackfood us twix choc fudge cookie bars,550.0,7.3,4.962,33.3,56.0,3.0,53.0,130.0,1.31,46,147.0,309.0,266.0,0.92,0.293,0.0,7.0,1.0,0.14,0.2,1.11,0.04,9.0,0.33,9.0,2.71,0.0,497,6
keebler waffle cones,424.0,6.5,0.86,5.3,87.7,1.8,31.6,0.0,3.0,15,80.0,100.0,149.0,0.7,0.0,0.0,0.0,0.0,0.54,0.33,4.34,0.03,0.0,0.0,0.0,0.05,0.0,482,6
nuts walnuts glazed,500.0,8.28,3.571,35.71,47.59,3.6,32.14,71.0,1.29,0,0.0,232.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4042,6
girl scouts thin mints cookies,502.0,4.5,16.5,24.2,67.3,2.3,32.0,0.0,3.0,25,75.0,95.0,380.0,0.3,0.0,0.0,0.0,0.0,0.29,0.19,2.5,0.0,0.0,0.0,0.0,0,0.0,3338,6
cranberries dried swtnd,308.0,0.17,0.088,1.09,82.8,5.3,72.56,9.0,0.39,4,8.0,49.0,5.0,0.1,0.063,0.18,0.6,0.2,0.013,0.0279999999999999,0.548,0.038,0.0,0.0,2.0,2.1,0.0,5924,6
mother's iced oatmeal cookies,463.0,5.4,5.8,18.0,71.0,2.7,36.3,0.0,2.3,6,33.0,110.0,493.0,0.2,0.0,0.0,0.0,0.0,0.27,0.17,2.1,0.01,0.0,0.0,0.0,0,0.0,2402,6
glutino gluten free wafers lemon flav,515.0,0.0,10.501,24.18,74.39,0.0,42.31,9.0,0.18,3,39.0,36.0,111.0,0.03,0.0,0.019,0.0,0.0,0.045,0.074,0.065,0.0,0.0,0.0,0.0,3.12,0.0,698,6
keebler fudge shoppe pnut creme filled cookies,537.0,7.2,16.9,31.1,57.6,3.3,30.3,0.0,2.7,25,62.0,196.0,354.0,0.3,0.0,0.0,0.0,0.0,0.19,0.13,1.8,0.0,0.0,0.0,0.0,0,0.0,1781,6
sweeteners tabletop saccharin (sodium saccharin),360.0,0.94,0.0,0.0,89.11,0.0,85.19,0.0,0.04,0,0.0,4.0,428.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3645,6
cake pound commly prep fat-free,283.0,5.4,0.259,1.2,61.0,1.1,34.34,43.0,2.06,10,146.0,110.0,341.0,0.31,0.0579999999999999,0.137,5.3,0.0,0.125,0.302,0.686,0.012,4.0,0.0,29.0,0.01,0.0,7970,6
toaster pastries kellogg kellogg's pop tarts frstd choc fudg,384.0,4.9,3.2,9.3,70.4,2.1,35.0,192.0,3.5,23,99.0,167.0,437.0,0.5,0.0,0.0,0.0,0.0,0.29,0.33,3.8,0.38,0.0,0.0,0.0,0,0.0,750,6
cookies graham crackers chocolate-coated,500.0,4.0,17.2,25.8,66.78,2.2,37.3,46.0,2.0,16,87.0,267.0,265.0,0.2,0.194,0.464,11.1,0.1,0.27,0.15,1.7,0.064,12.0,0.1,2.0,0.99,0.0,5103,6
candies tootsie roll chocolate-flavor roll,387.0,1.59,0.967,3.31,87.73,0.1,56.32,36.0,0.8,22,57.0,116.0,44.0,0.4,0.13,0.047,2.2,0.0,0.0559999999999999,0.07,0.21,0.01,6.0,0.0,0.0,0.65,0.0,8487,6
kashi tlc happy trail mix cookies,451.0,8.1,4.1,18.1,63.86,13.7,26.6,0.0,0.0,60,186.0,241.0,249.0,1.1,0.0,0.0,0.0,0.0,0.2,0.07,1.4,0.06,9.0,0.0,0.0,0,0.0,1133,6
granola bar wcocnt choc coatd,531.0,5.2,22.72,32.2,55.2,6.2,34.27,42.0,1.75,56,154.0,254.0,152.0,1.17,0.319,0.0,16.4,0.5,0.14,0.08,0.42,0.12,9.0,0.07,0.0,0.3,0.0,1172,6
candies nestle baby ruth bar,459.0,5.4,12.1,21.6,64.8,2.0,54.0,47.0,0.63,43,94.0,249.0,230.0,0.72,0.225,0.351,2.5,0.0,0.0579999999999999,0.121,1.251,0.042,12.0,0.06,0.0,0.93,0.0,840,6
strudel apple,274.0,3.3,2.044,11.2,41.1,2.2,25.75,15.0,0.42,9,33.0,149.0,135.0,0.19,0.03,0.19,6.1,1.7,0.04,0.025,0.33,0.046,6.0,0.22,6.0,1.42,0.0,40,6
granola bar soft milk choc coatd pnut butter,536.0,9.6,17.065,31.2,54.1,3.8,23.63,108.0,1.45,67,227.0,339.0,193.0,1.47,0.323,0.0,15.7,0.6,0.1,0.21,3.29,0.11,25.0,0.46,8.0,4.59,0.0,3642,6
keebler el fudge double stuffed cookies,512.0,4.6,10.5,24.8,67.6,4.1,38.5,0.0,2.6,0,64.0,135.0,266.0,0.0,0.0,0.0,0.0,0.0,0.28,0.18,2.14,0.0,0.0,0.0,0.0,0,0.0,6412,6
candies fudge choc w nuts prepared-from-recipe,461.0,4.38,6.489,18.93,67.93,2.5,63.37,57.0,1.97,55,114.0,183.0,39.0,1.43,0.526,0.885,2.9,0.2,0.067,0.095,0.315,0.088,16.0,0.07,38.0,0.26,0.0,6560,6
beverages choc syrup,279.0,2.1,0.519,1.13,65.1,2.6,49.65,14.0,2.11,65,129.0,224.0,72.0,0.73,0.512,0.382,1.4,0.2,0.009,0.05,0.322,0.006,2.0,0.0,0.0,0.02,0.0,5541,6
milk cnd cond swtnd,321.0,7.91,5.486,8.7,54.4,0.0,54.4,284.0,0.19,26,253.0,371.0,127.0,0.94,0.015,0.006,14.8,2.6,0.09,0.416,0.21,0.051,11.0,0.44,74.0,0.16,0.2,4533,6
